iter	Passed	Remaining
0	1	142
1	2	131
2	4	129
3	5	122
4	6	121
5	7	117
6	8	115
7	10	116
8	11	118
9	13	117
10	14	115
11	15	113
12	16	111
13	17	109
14	18	107
15	20	105
16	21	104
17	22	102
18	23	101
19	24	99
20	26	98
21	27	96
22	28	94
23	29	93
24	30	92
25	31	90
26	32	89
27	34	87
28	35	86
29	36	84
30	37	83
31	39	83
32	40	81
33	41	80
34	42	79
35	43	78
36	45	76
37	46	75
38	47	74
39	48	73
40	49	71
41	50	69
42	51	68
43	52	66
44	53	65
45	54	64
46	56	63
47	57	62
48	58	60
49	59	59
50	60	58
51	62	57
52	63	56
53	64	54
54	65	53
55	66	52
56	67	51
57	68	49
58	69	48
59	71	47
60	72	46
61	73	45
62	74	43
63	76	42
64	77	41
65	78	40
66	80	39
67	81	38
68	83	37
69	84	36
70	85	35
71	86	33
72	88	32
73	89	31
74	90	30
75	92	29
76	93	27
77	94	26
78	96	25
79	97	24
80	98	23
81	99	21
82	101	20
83	102	19
84	103	18
85	104	17
86	105	15
87	107	14
88	108	13
89	109	12
90	111	10
91	112	9
92	113	8
93	115	7
94	116	6
95	117	4
96	118	3
97	120	2
98	121	1
99	122	0
