iter	RMSE
0	14.47684252
1	14.0206849
2	13.56927752
3	13.12936957
4	12.71631395
5	12.36177201
6	11.96969063
7	11.59175269
8	11.24639225
9	10.91671974
10	10.56840167
11	10.23780817
12	9.917206039
13	9.645344261
14	9.355348601
15	9.067406485
16	8.773960433
17	8.522016556
18	8.271314747
19	8.030922212
20	7.774264919
21	7.530581267
22	7.3241375
23	7.108313713
24	6.896240973
25	6.70232425
26	6.523510858
27	6.333093362
28	6.138834375
29	5.992689422
30	5.81825432
31	5.656382204
32	5.50086409
33	5.346039908
34	5.208082016
35	5.065124552
36	4.919738802
37	4.792195589
38	4.641359164
39	4.513707725
40	4.383694478
41	4.27174463
42	4.162910105
43	4.054110504
44	3.937357305
45	3.820999884
46	3.724913985
47	3.623811169
48	3.521706134
49	3.421891441
50	3.330239766
51	3.239745946
52	3.156554069
53	3.083206022
54	3.013230637
55	2.937161862
56	2.859544105
57	2.787523901
58	2.721313764
59	2.661481109
60	2.594031755
61	2.533503248
62	2.476765012
63	2.421161337
64	2.372192306
65	2.315474991
66	2.261401812
67	2.216703787
68	2.167371408
69	2.118493054
70	2.075630454
71	2.033304901
72	1.997642486
73	1.964666191
74	1.924630935
75	1.892341271
76	1.849773155
77	1.808385872
78	1.777339867
79	1.745180784
80	1.718072573
81	1.683836931
82	1.654430217
83	1.624849354
84	1.601125085
85	1.574107395
86	1.549469868
87	1.524727686
88	1.50051999
89	1.474401428
90	1.449695323
91	1.4250285
92	1.403862323
93	1.382318071
94	1.359278527
95	1.336795217
96	1.316756359
97	1.300554657
98	1.284150631
99	1.267064656
100	1.253126924
101	1.235843741
102	1.221022756
103	1.202288142
104	1.18911721
105	1.171084833
106	1.156161322
107	1.138897425
108	1.125780272
109	1.113003577
110	1.102249403
111	1.090721544
112	1.078506621
113	1.06626693
114	1.053611036
115	1.049949659
116	1.036780001
117	1.032770039
118	1.021734054
119	1.018455264
120	1.007024138
121	0.9970870917
122	0.9940856463
123	0.9851246799
124	0.9745650301
125	0.9651356767
126	0.9548129748
127	0.9520922726
128	0.94664339
129	0.938710327
130	0.9357245768
131	0.9248739117
132	0.9191708246
133	0.9095946601
134	0.8989258118
135	0.8943138923
136	0.8893916849
137	0.8804235386
138	0.8738588272
139	0.8666757578
140	0.8640794483
141	0.8548277843
142	0.8522216868
143	0.8437046852
144	0.8415626009
145	0.8392908962
146	0.8324621983
147	0.8302616185
148	0.8279272691
149	0.8208799766
150	0.8185198371
151	0.8123200524
152	0.8095296323
153	0.8059419155
154	0.8038511539
155	0.7996879325
156	0.7932562048
157	0.7890288318
158	0.7871072681
159	0.7844816471
160	0.7817606436
161	0.7755131378
162	0.7688478458
163	0.7669598717
164	0.7656623837
165	0.7641714103
166	0.7629199826
167	0.7614578635
168	0.7599573781
169	0.7581215398
170	0.7567614763
171	0.7541584805
172	0.7485600132
173	0.7426292639
174	0.7403875345
175	0.7379906021
176	0.7309301133
177	0.729676866
178	0.7273689497
179	0.7260308617
180	0.71944386
181	0.7135095695
182	0.7092688095
183	0.7073016326
184	0.7020959955
185	0.700985276
186	0.6966097599
187	0.693592614
188	0.6884809931
189	0.6874282531
190	0.6817899394
191	0.6765470757
192	0.6746973709
193	0.6695265609
194	0.6684778163
195	0.6656267592
196	0.6607563418
197	0.6598309141
198	0.654008645
199	0.6529761851
200	0.6515818786
201	0.6459001551
202	0.6449560118
203	0.6436788418
204	0.6426586613
205	0.6375821213
206	0.6363000693
207	0.6353733211
208	0.6340936824
209	0.6324526999
210	0.6290520379
211	0.6269954945
212	0.6241692708
213	0.6205844838
214	0.6174803591
215	0.6167221897
216	0.6121259372
217	0.611404549
218	0.610750928
219	0.6088067947
220	0.6074811546
221	0.6064947207
222	0.6054640827
223	0.6047887211
224	0.6004311325
225	0.5997312859
226	0.5964017354
227	0.5954597842
228	0.5948606
